Project1_Results

bubbleSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,0.5,4,0.3,4,0.5,4,14.5,4,0.5,
8,0.4,8,0.2,8,0.4,8,4.2,8,0.3,
16,1.0,16,0.4,16,0.8,16,15.4,16,0.5,
32,2.9,32,1.3,32,2.0,32,58.6,32,1.8,
64,9.6,64,4.4,64,7.2,64,244.1,64,5.8,
128,33.4,128,16.6,128,27.5,128,855.8,128,21.3,
256,121.2,256,47.5,256,112.9,256,3732.3,256,58.7,
512,578.7,512,156.4,512,443.6,512,3547.9,512,200.2,
1024,1912.0,1024,564.1,1024,1852.8,1024,4331.6,1024,810.1,
2048,6475.3,2048,2233.7,2048,7612.5,2048,10207.7,2048,3563.8,
4096,25996.9,4096,9070.0,4096,32070.1,4096,35713.4,4096,13678.5,
8192,115398.3,8192,37413.0,8192,124650.7,8192,221286.3,8192,60868.3,
16384,552710.0,16384,148260.4,16384,816036.1,16384,1195220.7,16384,325613.3,
32768,2796933.6,32768,820233.0,32768,2551720.2,32768,2204019.8,32768,1434455.9,

mergeSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,0.3,4,0.3,4,0.4,4,27.1,4,1.1,
8,0.4,8,0.4,8,0.5,8,10.3,8,2.0,
16,1.2,16,0.8,16,1.1,16,42.5,16,3.9,
32,1.8,32,1.6,32,1.4,32,46.0,32,9.7,
64,4.1,64,3.5,64,2.6,64,104.9,64,20.3,
128,8.0,128,5.5,128,5.7,128,221.9,128,37.6,
256,18.3,256,10.5,256,13.3,256,475.3,256,80.9,
512,37.3,512,25.1,512,27.0,512,599.5,512,150.9,
1024,80.3,1024,50.5,1024,57.3,1024,800.3,1024,305.5,
2048,172.4,2048,115.5,2048,104.4,2048,1273.6,2048,641.5,
4096,403.7,4096,230.0,4096,229.7,4096,2689.2,4096,1347.8,
8192,847.7,8192,500.6,8192,509.2,8192,4220.8,8192,2668.5,
16384,1788.5,16384,1032.2,16384,1087.4,16384,5634.5,16384,2954.1,
32768,3796.6,32768,2338.0,32768,2337.5,32768,11494.0,32768,2923.7,

quickSort_random
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,2.6,4,2.3,4,2.2,4,120.1,4,2.8,
8,1.3,8,1.6,8,1.3,8,59.1,8,1.8,
16,2.1,16,2.1,16,2.3,16,31.8,16,3.1,
32,5.7,32,4.4,32,3.9,32,71.2,32,6.4,
64,10.4,64,8.9,64,8.0,64,197.5,64,17.6,
128,20.0,128,15.7,128,16.2,128,454.2,128,29.8,
256,43.6,256,28.4,256,33.0,256,556.7,256,67.4,
512,85.9,512,62.1,512,64.3,512,418.8,512,144.5,
1024,183.0,1024,120.4,1024,123.2,1024,493.9,1024,300.0,
2048,449.5,2048,254.9,2048,279.8,2048,945.8,2048,629.8,
4096,1208.9,4096,484.1,4096,502.4,4096,1986.1,4096,1284.7,
8192,2681.8,8192,998.5,8192,1483.9,8192,5745.6,8192,2608.2,
16384,5358.3,16384,2174.9,16384,3248.7,16384,6943.5,16384,5312.8,
32768,10479.3,32768,4408.1,32768,5960.4,32768,13059.3,32768,18189.2,

quickSort_first
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,3.1,4,1.6,4,2.1,4,30.5,4,3.1,
8,1.5,8,1.7,8,1.4,8,13.1,8,5.6,
16,1.7,16,1.0,16,1.4,16,66.3,16,8.1,
32,3.3,32,1.5,32,2.9,32,63.6,32,15.8,
64,6.0,64,4.0,64,5.3,64,180.0,64,32.5,
128,12.8,128,11.5,128,13.8,128,353.7,128,65.5,
256,35.1,256,34.6,256,48.1,256,738.3,256,132.8,
512,55.8,512,106.4,512,190.6,512,1623.0,512,267.2,
1024,115.1,1024,435.7,1024,599.8,1024,3992.5,1024,629.7,
2048,269.1,2048,1516.4,2048,2005.4,2048,8331.1,2048,1179.2,
4096,578.2,4096,5794.3,4096,9041.0,4096,10365.6,4096,2290.3,
8192,1243.4,8192,24394.6,8192,42337.7,8192,4934.8,8192,4657.9,
16384,2441.9,16384,-1.0,16384,-1.0,16384,10587.3,16384,10182.8,
32768,5933.7,32768,-1.0,32768,-1.0,32768,20197.0,32768,14820.2,

quickSort_medianOf3
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
